abacus|n.算盘
accommodate|vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和vi.适应
accommodation|n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合
accompaniment|n.陪伴物,伴奏
accompanist|n.伴奏者
accompany|vt.陪伴,伴奏
accomplice|n.同谋者,帮凶
accomplish|vt.完成,达到,实现
accomplished|adj.完成的,熟练的,多才多艺的
accomplishment|n.成就,完成,技艺
accord|n.一致,符合,调和,协定vt.一致,给与vi.符合
accordance|n.一致,和谐
according|adv.依照
accordingly|adv.因此,从而
accordion|n.手风琴adj.可折叠的
account|n.计算,帐目,说明,估计,理由vi.说明,总计有,认为,得分vt.认为
accountable|adj.应负责的,有责任的,可解释的
accountancy|n.会计师之职,会计学
accountant|n.会计(员),会计师
accredit|vt.信任,授权,归于
accrue|vi.自然增加,产生
accumulate|v.积聚,堆积
accuracy|n.精确性,正确度
accurate|adj.正确的,精确的
accusation|n.谴责,[律]指控
accuse|vt.控告,谴责,非难
accustom|vt.使习惯于
ace|n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者)adj.一流的abbr.[军]AlliedCommandEurope,欧洲盟军司令部
ache|n.疼痛vi.觉得疼痛,渴望
achieve|vt.完成,达到
achievement|n.成就,功绩
acid|n.[化]酸,<俚>迷幻药adj.酸的,讽刺的,刻薄的
acknowledge|vt.承认,答谢,报偿
acknowledgement|n.承认,确认,感谢
acoustics|n.声学
acquaint|vt.使熟知,通知
acquaintance|n.相识,熟人
acquiesce|vi.默许,勉强同意
acquire|vt.获得,学到
acquisition|n.获得,获得物
acquit|vt.宣告无罪,脱卸义务和责任,还清(债务)
acquittal|n.宣判无罪
acre|n.英亩,地产,大片田地
acrimony|n.言谈举止上的刻毒,讽刺,毒辣
acrobat|n.(走钢丝的)杂技演员,随机应变者,翻云覆雨者
acronym|n.只取首字母的缩写词
across|adv.横过,交叉地,在对面prep.越过,交叉,在...的那边,在...对面那边
act|n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
acting|adj.代理的,起作用的,演戏的
action|n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉
activate|vt.刺激,使活动vi.有活力
active|adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的n.[语法]主动语态,积极分子
activist|n.激进主义分子,行动主义分子
activity|n.活跃,活动性,行动,行为,[核]放射性
actor|n.男演员,行动者,参与者
actress|n.女演员
actual|adj.实际的,真实的,现行的,目前的
actuality|n.实在,现状
actually|adv.实际上,事实上,竟然,居然,如今
acumen|n.敏锐,聪明
acupuncture|n.针刺疗法v.施行针刺疗法
acute|adj.敏锐的,[医]急性的,剧烈
ad|n.广告[域]Andorra,安道尔abbr.[军]AirDefense,防空
adamant|adj.坚硬的
adapt|vt.使适应,改编
adaptable|adj.能适应的,可修改的
adaptation|n.适应,改编,改写本
adapter|n.适配器,改编者
adaptor|n.<美>编剧者,改编者
add|vt.增加,添加,计算...总和,补充说,又说vi.加,加起来,增添,做加法
addict|vt.使沉溺,使上瘾n.入迷的人,有瘾的人
addiction|n.沉溺,上瘾
addictive|adj.上瘾的
addition|n.加,加起来,增加物,增加,加法
additional|adj.另外的,附加的,额外的
additionally|adv.加之,又
additive|adj.附加的,加成的,添加的n.添加剂adj.添加的,附加的,加法的
address|n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于
adept|adj.熟练的,拿手的n.老手,擅长者
adequate|adj.适当的,足够的
adhere|vi.粘附,胶着,坚持v.坚持
adherence|n.粘着,忠诚,坚持
adhesive|adj.带粘性的,胶粘n.粘合剂
adjacent|adj.邻近的,接近的
adjective|n.形容词
adjoin|v.邻接,毗连
adjourn|vi.延期,休会,换另一个地方vt.使中止,推迟
adjudicate|v.判决,宣判,裁定
adjunct|n.附件,助手adj.附属的
adjust|vt.调整,调节,校准,使适合
adjustment|n.调整,调节,调节器
administer|v.管理,给予,执行
administration|n.管理,经营,行政部门
administrative|adj.管理的,行政的
administrator|n.管理人,行政官
admirable|adj.令人倾佩的,值的赞美的,绝妙的,极好的
admiral|n.海军上将,舰队司令,旗舰
admiration|n.钦佩,赞美,羡慕
admire|v.赞美,钦佩,羡慕
admissible|adj.可容许的,可接纳的
admission|n.允许进入,承认某事之陈述,供认
admit|v.容许,承认,接纳
admittedly|adv.公认地,诚然,无可否认的
admonish|vt.劝告,训诫,警告
ado|n.纷扰,忙乱abbr.[军]AdvancedDevelopmentObjective,高级发展目标
adolescent|adj.青春期的,青春的n.青少年
adopt|vt.采用,收养
adoption|n.采用,收养
adore|v.崇拜,爱慕,(口语)喜爱
adorn|v.装饰
adrift|adv.漂浮着,随波逐流地adj.漂泊的
adroit|adj.熟练的,机捷的
adult|n.成人,成年人adj.成人的,成熟的
adulterate|vt.掺杂adj.掺假的,通奸的
adultery|n.通奸,通奸行为
adulthood|n.成人期
advance|n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的预付(款项)
advanced|adj.高级的,年老的,先进的
advantage|n.优势,有利条件,利益
advantageous|adj.有利的
advent|n.(尤指不寻常的人或事)出现,到来
adventure|n.冒险,冒险的经历v.冒险
adventurism|n.(外交,政治等方面的)冒险主义
adventurist|n.冒险主义者
adventurous|adj.喜欢冒险的,敢做敢为的,充满危险的
adverb|n.副词
adverbial|adj.副词的,状语的n.状语
adversary|n.敌手,对手
adverse|adj.不利的,敌对的,相反的
adversity|n.不幸,灾祸,逆境
advertise|v.做广告,登广告
advertisement|n.广告,做广告
advertising|n.广告业,广告adj.广告的
advice|n.忠告,建议,[商]通知
advisable|adj.可取的,明智的
advise|vt.劝告,忠告,警告,建议
adviser|n.顾问,<美>(学生的)指导老师
advisor|n.顾问,<美>(学生的)指导老师
advisory|adj.顾问的,咨询的,劝告的
advocacy|n.拥护,鼓吹,辩护,辩护术
advocate|n.提倡者,鼓吹者vt.提倡,鼓吹
aerial|adj.航空的,生活在空气中的,空气的,高耸的n.天线
aerobatics|n.特技飞行,特技飞行术
aerobics|n.有氧运动法,增氧健身法(指跑步,优越等增强心肺循环功能的运动)
aerodynamics|n.空气动力学,气体力学
aeronautics|n.航空学,航空术
aeroplane|n.飞机
aerosol|n.浮质(气体中的悬浮微粒,如烟,雾等),[化]气溶胶,气雾剂,烟雾剂
aerospace|n.航空宇宙
aesthetics|n.美学,美术理论,审美学,美的哲学
affable|adj.和蔼可亲的
affair|n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事
affect|vt.影响,感动,侵袭,假装
affection|n.友爱,爱情,影响,疾病,倾向
affectionate|adj.亲爱的,挚爱的
affiliate|v.(使...)加入,接受为会员
affinity|n.密切关系,吸引力,姻亲关系,亲合力
affirm|v.断言,确认,肯定
affirmative|adj.肯定的,(对正式辩论中的问题)表示赞成的,(态度,方法等)积极的,乐观的,怀有希望的n.肯定语
affix|vt.使附于,粘贴n.[语]词缀
afflict|vt.使痛苦,折磨
affluent|adj.丰富的,富裕的
afford|vt.提供,给予,供应得起
afield|adv.离开(家乡),在战场上,在田野
afloat|adj.adv.飘浮的,在海上的,传播的
afoot|adj.徒步的,准备中,进行中的adv.在准备中,在进行中
afraid|adj.害怕,担心
afresh|adv.重新,再度
Africa|n.非洲
African|n.非洲人adj.非洲的
after|adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的
aftereffect|n.余波,后果
aftermath|n.结果,后果
afternoon|n.午后,下午adv.下午的,晚期
again|adv.又,再次,此外,再一次
against|prep.相反,反对,逆着,靠着,倚着
age|n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟
aged|adj.年老的,...岁的,老年人特有的
agency|n.代理处,行销处,代理,中介
agenda|n.议程
agent|n.代理(商)
aggravate|vt.使恶化,加重
aggregate|n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计
aggression|n.进攻,侵略
aggressive|adj.好斗的,敢作敢为的,有闯劲的,侵略性的
aggressor|n.侵略者,攻击者
aggrieved|adj.受虐待的,权利受到不法侵害的,抱不平的
agile|adj.敏捷的,轻快的,灵活的
agitate|v.搅动,摇动,煽动,激动
agitation|n.激动,兴奋,煽动,搅动
agnostic|n.[哲]不可知论者
ago|adv.以前的,以往的
agonizing|adj.苦恼的,痛苦难忍的
agony|n.苦恼,极大的痛苦
agree|vi.同意,赞成...的意见,与...一致,承认,适合vt.同意
agreeable|adj.使人愉快的,惬意的,适合的
agreement|n.同意,一致,协定,协议
agricultural|adj.农业的,农艺的
agriculture|n.农业,农艺,农学
aground|adv.搁浅地,地面上
ahead|adj.adv.在前,向前,提前,在前面
aid|n.帮助,援助,帮助者,有帮助的事物vt.资助,援助,帮助
ailing|adj.生病的,境况不佳的
ailment|n.疾病(尤指微恙),不宁,不安
aim|n.目标,目的,瞄准v.对...瞄准,打算
aimless|adj.无目的的,没有目标的
air|n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示
airbase|n.空军基地
airborne|adj.空运的,空气传播的,空降的
airconditioned|adj.备有空气调节装置的,装有空气调节器的
aircraft|n.航行器
airfield|n.飞机场
airforce|n.空军
airily|adv.轻盈地,快活地
airlift|n.(尤指紧急情况下或陆上交通断绝时的)空运,空运物资vt.空运
airline|n.定期航线
airliner|n.定期班机,客机
airmail|n.航空邮件
airport|n.<主美>小型民用机场,私人飞机降落场
airstrip|n.飞机跑道
airtight|adj.密封的,无懈可击的
airway|n.空中航线,通风孔
airy|adj.空气的,空中的,通风的,轻快的,空想的
aisle|n.走廊,过道
ajar|adj.(门窗等)微开的
alarm|n.警报,惊慌,警告器vt.恐吓,警告
alas|int.唉
album|n.集邮本,照相簿,签名纪念册
alchemy|n.炼金术,魔力
alcohol|n.酒精,酒
alcoholic|adj.含酒精的n.酗酒者,酒鬼
alcoholism|n.酒精中毒
ale|n.淡色啤酒(较一般啤酒含更多的酒精)
alert|adj.提防的,警惕的n.警惕,警报
alga|n.藻类,海藻
algebra|n.代数学
alias|n.别名,化名
alibi|n.[律]犯罪现场,辩解,托辞
alien|n.外侨adj.外国的,相异的,不同,背道而驰
alienate|v.疏远
align|vi.排列vt.使结盟,使成一行
alike|adj.相同的,相似的adv.以同样的方式,类似于
alimony|n.[律](离婚或分居后在诉讼期间男方给女方的)赡养费,生活费
alive|adj.活着的,活泼的
alkali|n.[化]碱adj.碱性的
all|adj.全部的,所有的,整个的adv.完全,更加,越发pron.全部
Allah|n.阿拉,真主(伊斯兰教信奉的唯一的名称)
allay|vt.减轻,减少
allege|vt.宣称,断言
allegedly|adv.依其申述
allegiance|n.忠贞,效忠
allegory|n.寓言
allergic|adj.[医]过敏的,患过敏症的
allergy|n.[医]敏感症,<口>反感
alleviate|vt.使(痛苦等)易于忍受,减轻
alley|n.小路,巷,(花园里两边有树篱的)小径
alliance|n.联盟,联合
alligator|n.产于美洲的鳄鱼
allocate|vt.分派,分配
allocation|n.分配,安置
allot|vt.(按份额)分配,分派
allow|vt.允许,承认
allowance|n.津贴,补助,宽容,允许vt.定量供应
alloy|n.合金vt.使成合金,减低成色
allure|v.吸引
allusion|n.提及,暗示
ally|v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者
almanac|n.历书,年鉴
almighty|adj.全能的
almond|n.[植]杏树,杏仁,杏仁壮物
almost|adv.几乎,差不多
alms|n.施舍,救济物(钱,食物,衣物等)
alone|adj.单独的,独一无二的,孤独的,独自的adv.独自地
along|adv.往前,向前prep.顺着,沿着
alongside|adv.在旁prep.横靠
aloof|adv.避开,远离adj.孤零的,冷淡的
aloud|adv.大声地
alphabet|n.字母表
alphabetical|adj.依字母顺序的,字母的
already|adv.已经
also|adv.也,同样
altar|n.祭坛,(基督教教堂内的)圣坛,祈祷祭拜的地方
alter|v.改变
alteration|n.变更,改造
alternate|adj.交替的,轮流的,预备的v.交替,轮流,改变
alternative|n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的
although|conj.虽然,尽管
altitude|n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等
altogether|adv.完全地,总而言之
aluminium|n.[化]铝adj.铝的
aluminum|n.[化]铝
alumna|n.女毕业生,女校友
alumnus|n.男毕业生,男校友
always|adv.总是,永远,始终
am|prep.是,在n.A.M.上午,午前[域]Armenia,亚美尼亚abbr.[军]AmplitudeModulation,调幅
amalgamate|v.使与汞混合,合并
amass|vt.收集,积聚(尤指财富)
amateur|n.业余爱好者,业余艺术家
amaze|vt.使吃惊
amazing|adj.令人惊异的
ambassador|n.大使
amber|n.琥珀adj.琥珀制的,琥珀色(黄色)的
ambience|n.周围环境,气氛
ambiguity|n.含糊,不明确
ambiguous|adj.暧昧的,不明确的
ambition|n.野心,雄心
ambitious|adj.有雄心的,野心勃勃的
ambivalent|adj.矛盾的,好恶相克的
ambulance|n.战时流动医院,救护车
ambush|n.埋伏,伏兵v.埋伏
amenable|adj.应服从的,有服从义务的,有责任的
amend|v.修正,改进,改正
amendment|n.改善,改正
amenity|n.宜人,礼仪
America|n.<美>美国,美洲(包括北美和南美洲)
American|n.美国人,美洲人adj.美国的,美洲的
amiable|adj.亲切的,和蔼可亲的
amicable|adj.友善的,和平的
amid|prep.在...中
amidst|prep.在...当中
amiss|adj.有毛病的,出差错的adv.错误的
ammeter|n.电表
ammonia|n.[化]氨,氨水
ammunition|n.军火,弹药
amnesia|n.健忘症
amnesty|n.(尤指对反政府政治犯的)特赦
among|prep.在...之中,...之一
amongst|prep.在...中间,在...之中
amoral|adj.与道德无关的,超道德的
amount|n.数量vi.(to)总计,等于
ampere|n.安培
amphibian|adj.两栖类的,水陆两用的n.两栖动物,水陆两用飞机,水陆两用的平底车辆
amphibious|adj.两栖的
ample|adj.充足的,丰富的
amplifier|n.[电工]扩音器,放大器
amplify|vt.放大,增强v.扩大
amuse|vt.使发笑,使愉快
amusement|n.娱乐,消遣,娱乐活动
anaemia|n.[医]贫血,贫血症
anaesthesia|n.[医]感觉缺乏,麻木,麻醉(法)
anaesthetic|n.麻醉剂adj.麻醉的
anaesthetize|vt.麻痹,使麻痹
anagram|n.由颠倒字母顺序而构成的字(片语)
anal|adj.肛门的,近肛门的
analogue|n.相似物,类似情况,对等的人
analogy|n.类似,类推
analyse|vt.分析,分解n.分析
analysis|n.分析,分解
analytical|adj.分析的,解析的
analyze|vt.分析,分解
anarchic|adj.无政府主义的,无法无天的
anarchist|n.无政府主义者
anarchy|n.无政府状态,政治混乱
anatomy|n.剖析,解剖学
ancestor|n.祖先,祖宗
ancestral|adj.祖先的,祖传的
ancestry|n.祖先(集合称),家系,血统
anchor|n.锚v.抛锚,锚定
anchorage|n.停泊地点,抛锚地点
anchorman|n.(接力赛中)末棒运动员,(汇编各地采访人员的资料并进行综合评价的)新闻节目主持人
ancient|adj.远古的,旧的
and|[连接并列的名词、代词或数词]同,和,与,如：FatherandIwenttoXinhuabookstoreyesterday.父亲和我昨天到新华书店去过。
anecdote|n.轶事,奇闻
anemia|n.贫血,贫血症
anesthesia|n.=<美>anaethesia
anesthetic|n.麻醉剂,麻药adj.麻醉的
anesthetize|vt.麻痹,使麻痹
anew|adv.重新,再
angel|n.天使,完善可爱的人
anger|n.怒,愤怒v.恼火
angle|n.[数]角,角落vi.钓鱼,追逐
angrily|adv.愤怒地
angry|adj.生气的,愤怒的,狂暴的(风雨等)
anguish|n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦
angular|adj.有角的
animal|n.动物
animate|v.鼓舞adj.生气勃勃的
animation|n.活泼,有生气
animosity|n.仇恨,憎恶
ankle|n.[解]踝
annals|n.编年史,年报
annex|n.附件vt.并吞,附加
annihilate|vt.消灭,歼灭
anniversary|n.周年纪念
announce|vt.宣布,通告
announcement|n.宣告,发表,一项公告,一项私人告示
announcer|n.广播员,告知者,报幕员
annoyance|n.烦恼,可厌之事
annual|n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的
annuity|n.年金,养老金,年金享受权
annul|v.废除,取消,废止
anode|n.[电]阳极,正极
anomaly|n.不规则,异常的人或物
anonymity|n.匿名,作者不明(或不详)
anonymous|adj.匿名的
another|adj.另外的,又一,不同的prep.另一个,另一个人,同类的东西
answer|n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应
ant|n.蚂蚁
antagonism|n.对抗(状态),对抗性
antagonist|n.敌手,对手
antagonize|vt.敌对,对抗
antarctic|adj.南极的,南极地带的
antecedent|n.先辈adj.先行的
antelope|n.羚羊
antenna|n.天线
anthem|n.圣歌,赞美诗
anthology|n.诗选,文选
anthropology|n.人类学
antibiotic|n.抗生素adj.抗生的
antibody|n.抗体
antic|n.丑角,滑稽动作adj.奇特的,滑稽可笑的
anticipate|vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料
anticipation|n.预期,预料
antidote|n.[医]解毒剂,矫正方法
antilogarithm|n.[数]逆对数
antipathy|n.憎恶,反感
antique|n.古物,古董adj.古时的,过时的
antiquity|n.古代,古老,古代的遗物
antiseptic|adj.防腐的,杀菌的,消过毒的n.防腐剂,杀菌剂
antler|n.鹿角,茸角
antonym|n.反义词
anus|n.肛门
anxiety|n.忧虑,焦急,渴望,热望
anxious|adj.观念的,担忧的,渴望的,盼望的
anxiously|adv.忧虑地,不安地
any|adj.任何的,任何一种,所有的pron.无论那一个,任何
anybody|pron.任何人,重要人物
anyhow|adv.无论如何,总之
anymore|adv.不再,再也不
anyone|pron.任何一个
anything|pron.任何事
anyway|adv.无论如何,总之
anywhere|adv.无论何处
apace|adv.快速地,急速地
apart|adv.分离,分成零件,分别地,分离着adj.分开的
apartheid|n.(南非)种族隔离
apartment|n.<美>公寓住宅,单元住宅,房间
apathy|n.缺乏感情或兴趣,冷漠
ape|n.猿
aperture|n.孔,穴,缝隙,(照相机,望远镜等的)光圈,孔径
apex|n.顶点
apiece|adv.每个,每人,各
apologetic|adj.道歉的,认错的,辩护的
apologize|vi.道歉,辩白
apology|n.(为某种思想,宗教,哲学等)辩解,道歉
apoplexy|n.[医]中风
apostrophe|n.省略符号,呼语
appalling|adj.令人震惊的,骇人听闻的
apparatus|n.器械,设备,仪器
apparel|n.衣服,装饰
apparent|adj.显然的,外观上的
apparently|adv.显然地
appeal|n.请求,呼吁,上诉,吸引力,要求vi.求助,诉请,要求vt.控诉
appealing|adj.吸引人的,哀诉似的,恳求似的
appear|vi.出现,看来,似乎,公开露面,出版,发表
appearance|n.出现,露面,外貌,外观
appease|vt.平息,安抚,缓和,使满足
append|vt.附加,添加,悬挂[计]设置数据文件的搜索路径
appendicitis|n.阑尾炎,盲肠炎
appendix|n.附录,附属品,[解]阑尾
appetite|n.食欲,胃口,欲望,爱好
applaud|v.拍手喝彩,称赞,赞同
applause|n.鼓掌欢迎,欢呼
apple|n.苹果,似苹果的果实
appliance|n.用具,器具
applicable|adj.可适用的,可应用的
applicant|n.申请者,请求者
application|n.请求,申请,申请表,应用,运用,施用,敷用应用,应用程序,应用软件
apply|vt.申请,应用vi.申请,适用
appoint|vt.约定,指定(时间,地点),任命,委任
appointee|n.被任命者,[律]指定的财产受益人
appointment|n.约会,指定
apposite|adj.适当的
appraisal|n.评价,估价(尤指估价财产,以便征税),鉴定
appraise|v.评价
appreciable|adj.可感知的,可评估的
appreciate|vt.赏识,鉴赏,感激vi.增值,涨价
appreciation|n.感谢,感激,正确评价,欣赏,增值
appreciative|a欣赏的,有欣赏力的,表示感激的,承认有价值的
apprehend|v.领会理解
apprehension|n.理解,忧惧,拘捕
apprentice|n.学徒v.当学徒
approach|n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近
appropriate|adj.适当的
approval|n.赞成,承认,正式批准
approve|vi.赞成,满意vt.批准,通过v.批准
approximate|adj.近似的,大约的v.近似,接近,接近,约计
apricot|n.杏,杏树
April|n.四月(略作Apr)
apron|n.围裙,外表或作用类似围裙的东西,[机]挡板,护坦
apt|adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是
aptitude|n.恰当,智能,聪明,自然倾向
aquarium|n.养鱼池,玻璃缸,水族馆
aquatic|adj.水的,水上的,水生的,水栖的
Arabia|n.阿拉伯半岛
Arabian|adj.阿拉伯的,阿拉伯人的
Arabic|adj.阿拉伯的
arbiter|n.仲裁者,判优器
arbitrary|adj.任意的,武断的,独裁的,专断的
arbitrate|v.作出公断
arc|n.弧,弓形,拱
arcade|n.[建]拱廊,有拱廊的街道
arch|n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要
archaeologist|n.考古学家
archaeology|n.考古学
archaic|adj.古老的,古代的,陈旧的
archbishop|n.[宗]大教主
archer|n.射手,弓术家,[天]人马星座
archetype|n.原型
archipelago|n.群岛,多岛海
architect|n.建筑师
architecture|n.建筑,建筑学体系机构
archive|vt.存档n.档案文件
archway|n.拱门,拱道
arctic|adj.北极的,北极区的n.北极,北极圈
ardent|adj.热心的,热情洋溢的,激烈的,燃烧般的
ardor|n.热诚,情欲,激情,热情,炽热
ardour|n.热心,热情,情欲,激情,灼热
arduous|adj.费劲的,辛勤的,险峻的
are|prep.是,在,公亩
area|n.范围,区域,面积,地区,空地
arena|n.竞技场,舞台
argue|vi.争论,辩论vt.说服
argument|n.争论,辩论,论据,论点,～(for,against),意见
argumentative|adj.好辩的,争论的
arid|adj.干旱的,贫瘠的(土地等),无趣的,沉闷的
arise|vi.出现,发生,起因于
aristocracy|n.贵族,贵族政府,贵族统治
aristocrat|n.贵族
aristocratic|adj.贵族的,贵族化的,贵族政治的
arithmetic|n.算术,算法
ark|n.方舟,约柜,箱子
arm|n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来
armada|n.舰队
armament|n.军备,武器
armchair|n.扶手椅子
armor|n.装甲
armour|n.盔甲,装甲钢板,装甲部队
armoury|n.军械库,武器厂
armpit|n.腋窝
army|n.陆军,军队,大群,大军
aroma|n.芳香,香气,香味
aromatic|adj.芬芳的
around|adv.周围,四周,到处,大约,左右prep.在...周围,四处
arouse|vt.唤醒,唤起,鼓励,引起vi.睡醒
arrange|v.安排,排列,协商
arrangement|n.排列,安排
array|n.排列,编队,军队,衣服,大批vt.部署,穿着,排列
arrears|n.到期未付款,欠帐
arrest|vt.逮捕,拘留,吸引n.逮捕,拘留
arrival|n.到来,到达,到达者
arrive|vi.到达,抵达
arrogance|n.傲慢态度,自大
arrogant|adj.傲慢的,自大的
arrow|n.箭,箭头记号
arsenal|n.兵工厂,军械库
arson|n.纵火,纵火罪
art|n.艺术,艺术品,技术,巧妙,美术
artefact|n.人工品,赝象
artery|n.动脉,要道
artful|adj.巧妙的,狡猾的
arthritis|n.关节炎
article|n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的
articulate|adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说
artifact|n.人造物品
artifice|n.技巧
artificial|adj.人造的,假的,非原产地的
artillery|n.炮的总称,炮兵的总称
artisan|n.工匠,技工
artist|n.艺术家,画家
artistic|adj.艺术的,有美感的,风雅的
as|adv.同样地,被看作,象prep.当做conj.与...一样,当...之时,象,因为[域]AmericanSamoa,东萨摩亚abbr.[军]AirtoSurface,空对地
ascend|v.攀登,上升
ascendant|n.优势,运星,运道,支配力adj.上升的,优越的
ascent|n.上升,(地位,声望等的)提高,攀登,上坡路
ascertain|vt.确定,探知
ascetic|n.禁欲者,苦行修道者adj.修道的,苦行的
ascribe|vt.归因于,归咎于
ash|n.灰,灰烬,[植]岑树
ashamed|adj.惭愧的,羞耻的
ashore|adv.向岸地,在岸上地
ashtray|n.烟灰缸
Asia|n.亚洲
Asian|adj.亚洲的,亚洲人的n.亚洲人
aside|adv.在旁边,到旁边
ask|vi.询问,问,要求vt.问,要求,需要,邀请
asleep|adj.睡着的,睡熟的
aspect|n.样子,外表,面貌,(问题等的)方面
asphalt|n.沥青
aspiration|n.热望,渴望
aspire|vi.热望,立志
aspirin|n.阿斯匹林(解热镇痛药),乙酰水杨酸
ass|n.驴,笨人,臀部
assail|vt.攻击,质问
assailant|n.攻击者
assassin|n.暗杀者,刺客
assassinate|vt.暗杀,行刺
assault|n.攻击,袭击v.袭击
assemble|vt.集合,聚集,装配vi.集合
assembly|n.集合,装配,集会,集结,汇编
assent|n.赞成vi.同意
assert|v.断言,声称
assertion|n.主张,断言,声明
assertive|adj.断定的,过分自信的
assess|vt.估定,评定
assessment|n.(为征税对财产所作的)估价,被估定的金额
asset|n.资产,有用的东西
assiduous|adj.勤勉的,刻苦的
